IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand
15,Sachsen-Anhalt,SK Magdeburg,A35-A59,M,2,0,154936,2020-03-18T00:00:00.000Z,15003,2020-03-21
15,Sachsen-Anhalt,SK Magdeburg,A35-A59,W,1,0,154937,2020-03-12T00:00:00.000Z,15003,2020-03-21
15,Sachsen-Anhalt,SK Magdeburg,A35-A59,W,1,0,154938,2020-03-17T00:00:00.000Z,15003,2020-03-21
15,Sachsen-Anhalt,SK Magdeburg,A60-A79,M,1,0,154939,2020-03-10T00:00:00.000Z,15003,2020-03-21
15,Sachsen-Anhalt,SK Magdeburg,A60-A79,M,1,0,154940,2020-03-19T00:00:00.000Z,15003,2020-03-21
15,Sachsen-Anhalt,SK Magdeburg,A60-A79,W,1,0,154941,2020-03-18T00:00:00.000Z,15003,2020-03-21
15,Sachsen-Anhalt,SK Magdeburg,A80+,M,1,0,154942,2020-03-17T00:00:00.000Z,15003,2020-03-21
15,Sachsen-Anhalt,SK Magdeburg,A80+,W,1,0,154943,2020-03-13T00:00:00.000Z,15003,2020-03-21
15,Sachsen-Anhalt,SK Magdeburg,A80+,W,1,0,154944,2020-03-18T00:00:00.000Z,15003,2020-03-21
15,Sachsen-Anhalt,LK Altmarkkreis Salzwedel,A15-A34,M,1,0,154945,2020-03-12T00:00:00.000Z,15081,2020-03-21
15,Sachsen-Anhalt,LK Altmarkkreis Salzwedel,A35-A59,M,2,0,154946,2020-03-16T00:00:00.000Z,15081,2020-03-21
15,Sachsen-Anhalt,LK Anhalt-Bitterfeld,A05-A14,W,1,0,154947,2020-03-16T00:00:00.000Z,15082,2020-03-21
15,Sachsen-Anhalt,LK Anhalt-Bitterfeld,A15-A34,M,1,0,154948,2020-03-11T00:00:00.000Z,15082,2020-03-21
15,Sachsen-Anhalt,LK Anhalt-Bitterfeld,A15-A34,M,1,0,154949,2020-03-12T00:00:00.000Z,15082,2020-03-21
15,Sachsen-Anhalt,LK Anhalt-Bitterfeld,A15-A34,M,1,0,154950,2020-03-19T00:00:00.000Z,15082,2020-03-21
15,Sachsen-Anhalt,LK Anhalt-Bitterfeld,A15-A34,W,1,0,154951,2020-03-16T00:00:00.000Z,15082,2020-03-21
15,Sachsen-Anhalt,LK Anhalt-Bitterfeld,A35-A59,M,2,0,154952,2020-03-16T00:00:00.000Z,15082,2020-03-21
15,Sachsen-Anhalt,LK Anhalt-Bitterfeld,A35-A59,M,1,0,154953,2020-03-19T00:00:00.000Z,15082,2020-03-21
15,Sachsen-Anhalt,LK Börde,A15-A34,M,2,0,154954,2020-03-16T00:00:00.000Z,15083,2020-03-21
15,Sachsen-Anhalt,LK Börde,A15-A34,M,2,0,154955,2020-03-18T00:00:00.000Z,15083,2020-03-21
15,Sachsen-Anhalt,LK Börde,A15-A34,W,1,0,154956,2020-03-16T00:00:00.000Z,15083,2020-03-21
15,Sachsen-Anhalt,LK Börde,A15-A34,W,2,0,154957,2020-03-18T00:00:00.000Z,15083,2020-03-21
15,Sachsen-Anhalt,LK Börde,A35-A59,M,2,0,154958,2020-03-11T00:00:00.000Z,15083,2020-03-21
15,Sachsen-Anhalt,LK Börde,A35-A59,M,5,0,154959,2020-03-16T00:00:00.000Z,15083,2020-03-21
15,Sachsen-Anhalt,LK Börde,A35-A59,M,2,0,154960,2020-03-17T00:00:00.000Z,15083,2020-03-21
15,Sachsen-Anhalt,LK Börde,A35-A59,W,2,0,154961,2020-03-16T00:00:00.000Z,15083,2020-03-21
